CURSO,COD_RUCT,TITULACION,IND_TESIS_MATRIC,TASA_ABAN,IND_SATIS_PDI_GT_DOC,IND_SATIS_ALUM_GT_DOC,GRUPO_TITULACION
2020-21,5600428,PROGRAMA DE DOCTORADO EN ARTE: PRODUCCIÓN E INVESTIGACIÓN,314,8.27,7.18,6.65,Arte
2020-21,5600046,"PROGRAMA DE DOCTORADO EN AUTOMÁTICA, ROBÓTICA E INFORMÁTICA INDUSTRIAL",36,13.16,7.19,7.29,Ingeniería Industrial
2020-21,5600180,PROGRAMA DE DOCTORADO EN BIOTECNOLOGÍA,196,2.61,7.76,5.79,Agroalimentación y Biotecnología
2020-21,5600047,"PROGRAMA DE DOCTORADO EN CIENCIA, TECNOLOGÍA Y GESTIÓN ALIMENTARIA",93,3.8,8.61,7.81,Agroalimentación y Biotecnología
2020-21,5600036,PROGRAMA DE DOCTORADO EN CIENCIA Y TECNOLOGÍA DE LA PRODUCCIÓN ANIMAL,47,4.17,9.17,8.95,Agroalimentación y Biotecnología
2020-21,5600049,PROGRAMA DE DOCTORADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,41,9.76,7.4,5.83,Arte
2020-21,5600319,PROGRAMA DE DOCTORADO EN DESARROLLO LOCAL Y COOPERACIÓN INTERNACIONAL,56,9.09,8.61,7.75,Economía y Ciencias Sociales
2020-21,5600595,"PROGRAMA DE DOCTORADO EN DISEÑO, FABRICACIÓN Y GESTIÓN DE PROYECTOS INDUSTRIALES",143,12.2,8.85,8.13,Ingeniería Industrial
2020-21,5600039,PROGRAMA DE DOCTORADO EN ECONOMÍA AGROALIMENTARIA,47,7.5,9.03,8.17,Economía y Ciencias Sociales
2020-21,5600324,PROGRAMA DE DOCTORADO EN ESTADÍSTICA Y OPTIMIZACIÓN,27,12.5,8.61,7.5,Ciencias
2020-21,5600045,PROGRAMA DE DOCTORADO EN INDUSTRIAS DE LA COMUNICACIÓN Y CULTURALES,101,11.86,7.92,7.76,Arte
2020-21,5600037,PROGRAMA DE DOCTORADO EN INFORMÁTICA,141,5.13,7.91,7.5,TIC
2020-21,5601191,PROGRAMA DE DOCTORADO EN INFRAESTRUCTURAS DE TRANSPORTE Y TERRITORIO,35,5.0,8.85,8.08,Ingeniería Civil
2020-21,5600052,PROGRAMA DE DOCTORADO EN INGENIERÍA DE LA CONSTRUCCIÓN,53,11.54,8.25,7.5,Ingeniería Civil
2020-21,5600137,PROGRAMA DE DOCTORADO EN INGENIERÍA DEL AGUA Y MEDIOAMBIENTAL,109,7.87,8.23,7.58,Ingeniería Civil
2020-21,5600041,PROGRAMA DE DOCTORADO EN INGENIERÍA ELECTRÓNICA,24,11.11,8.08,6.79,Ingeniería Industrial
2020-21,5601084,PROGRAMA DE DOCTORADO EN INGENIERÍA GEOMÁTICA,44,8.33,9.38,9.17,TIC
2020-21,5600048,PROGRAMA DE DOCTORADO EN INGENIERÍA TEXTIL,20,7.69,8.25,7.0,Ingeniería Industrial
2020-21,5600040,PROGRAMA DE DOCTORADO EN INGENIERÍA Y PRODUCCIÓN INDUSTRIAL,165,10.0,8.23,8.01,Ingeniería Industrial
2020-21,5600337,"PROGRAMA DE DOCTORADO EN LENGUAS, LITERATURAS Y CULTURAS, Y SUS APLICACIONES",61,18.92,8.08,9.29,Economía y Ciencias Sociales
2020-21,5600050,PROGRAMA DE DOCTORADO EN MATEMÁTICAS,45,6.82,6.84,7.5,Ciencias
2020-21,5600353,PROGRAMA DE DOCTORADO EN QUÍMICA,49,4.17,8.96,7.29,Ciencias
